iso3,Year,biogeo_twh,elect_twh,hydro_twh,ren_power_twh,solar_twh,wind_twh,renewable_share,CO2,Population,GDP,GDP_per_capita
ARE,2010,0.0,93.949,,0.018424,0.018424,0.0,,185.8484,6869838.0,300189052688.904,43696.6712590463
ARE,2011,0.0,99.137,,0.020696,0.020696,0.0,,198.5182,7104538.0,360832739550.715,50789.050540755
ARE,2012,0.0,106.222,,0.024242,0.024242,0.0,,208.3236,7391448.0,384610125391.423,52034.4762476071
ARE,2013,0.0,109.995424,,0.086912,0.085423,0.001489,,214.1881,7693031.0,400218529748.128,52023.5170959441
ARE,2014,0.0,116.5449025,,0.311409,0.308431,0.002978,,214.5303,8059440.0,414105366752.893,51381.4069901746
ARE,2015,0.0,127.3830228,,0.300589,0.2991,0.001489,,225.0448,8505237.0,370275469571.137,43534.9972694631
ARE,2016,0.0,129.6129862,,0.316,0.316,0.0,,227.8977,8935095.0,369255326235.534,41326.4018161569
ARE,2017,0.0,134.5686906,,0.7451,0.7451,0.0,,196.4928,9223225.0,390516804029.952,42340.5917160161
ARE,2018,0.0,136.0142782,,1.1981,1.1981,0.0,,204.1048,9346701.0,427049432157.931,45689.8570049401
ARE,2019,0.0,138.4540579,,3.6558,3.6558,0.0,,204.0581,9445785.0,417989721742.682,44251.4541398817
ARE,2020,0.0009,137.3103646,,5.185365927,5.184465927,0.0,,215.2662,9401038.0,349473015330.157,37173.8754093066
ARE,2021,0.0003974,149.052872,,6.252780752,6.252338352,4.5e-05,,212.173,9575152.0,415178792756.978,43360.0211001327
ARE,2022,0.0124,155.4385,,7.755801572,7.743356572,4.5e-05,,207.1034,10074977.0,502731935194.01,49899.0652975197
ARE,2023,0.2102731,167.5327,,14.6741949,14.40392,0.0600018,,210.4251,10483751.0,514130432648.06,49040.6947521035
ARE,2024,0.210849191,177.253866,,15.61969743,15.20922971,0.199618529,,221.9881,10876981.0,537078829135.466,49377.5643384379
ARG,2010,1.377363153,125.9920533,33.35990814,1.40280065,8.589e-05,0.025351606,0.2759119157080997,186.1213,41288694.0,423627422092.49,10260.1313108254
